Anh văn sơ cấp *,Giáo dục thể chất 1 *,Tin học văn phòng *,Anh văn 1 *,Giáo dục quốc phòng - an ninh 1 *,Giáo dục thể chất 2 *,Kỹ năng học tập hiệu quả *,Anh văn 2 *,Giáo dục quốc phòng - an ninh 3 AB *,Giáo dục thể chất 3 *,Ngôn ngữ lập trình,Những nguyên lý cơ bản của chủ nghĩa Mác-Lênin 2,Thực hành ngôn ngữ lập trình,Toán cao cấp A2,Toán rời rạc,Kỹ năng giao tiếp,Logic học,Cấu trúc dữ liệu và giải thuật,Kiến trúc máy tính,Phương pháp tính,Thí nghiệm vật lý đại cương,Thực hành cấu trúc dữ liệu và giải thuật,Vật lý đại cương 2,Môi trường và con người,Quản lý chất lượng,Quản lý dự án,Quản trị học,An toàn lao động,Cơ sở dữ liệu,Hệ điều hành,Lập trình hướng đối tượng,Thiết kế Web,Thực hành cơ sở dữ liệu,Thực hành lập trình hướng đối tượng,Thực hành thiết kế Web,Tư tưởng Hồ Chí Minh,Xác suất thống kê,Hàm phức và phép biến đổi Laplace,Quy hoạch tuyến tính,Toán kỹ thuật,Vật lý đại cương 3,Đường lối cách mạng của Đảng Cộng sản Việt Nam,Lập trình Windows,Mạng máy tính,Thực hành lập trình Windows,Thực hành mạng máy tính,Truyền thông kỹ thuật số,Đồ họa máy tính,Kỹ thuật lập trình,Quản trị mạng,Thực hành đồ họa máy tính,Thực hành kỹ thuật lập trình,Thực hành quản trị mạng,Hệ quản trị cơ sở dữ liệu,Phân tích thiết kế hệ thống thông tin,Phương pháp nghiên cứu khoa học,Thực hành hệ quản trị cơ sở dữ liệu,Thực hành phân tích thiết kế hệ thống thông tin,Thương mại điện tử ngành CNTT,Trí tuệ nhân tạo,Cơ sở tin học viễn thông,Lập trình mã nguồn mở,Lý thuyết đồ thị,Thực hành cơ sở tin học viễn thông,Thực hành lập trình mã nguồn mở,Thực hành lý thuyết đồ thị,Công nghệ phần mềm,Đồ án môn học,Lập trình trên thiết bị di động,Lập trình Windows nâng cao,Quản lý dự án phần mềm,Thực hành lập trình trên thiết bị di động,Thực hành lập trình Windows nâng cao,Công nghệ Web,Khai thác dữ liệu,Thực hành công nghệ Web,Thực tập nghề nghiệp,Đồ án chuyên ngành,Khoá luận tốt nghiệp,Kiểm định chất lượng phần mềm,Thực hành kiểm định chất lượng phần mềm,Tốt nghiệp
9.4,9.8,5.2,8.4,7.8,9.4,8.4,7.9,6,5.8,4.9,7.3,5.5,5.1,9.5,8.8,9.9,8.1,4.7,4.8,8.4,4.1,5,6.9,8.2,4.6,4.1,5.8,5,8.1,7.7,4.4,9.3,5.1,6.9,4.2,8.3,4.5,9.3,9.6,7.3,4.6,5.9,6.8,8.2,6.3,8.6,9.6,7.3,7.6,7.7,7.1,9.6,9.6,7,9.7,8.5,7.3,9.9,6.3,6.9,7.8,7.5,4.2,7.1,5.3,4.7,8,9.4,7.8,5.8,5.5,9,4.9,9.8,6,7.4,5.1,5.9,10,9.9,1
9.8,5.3,5.2,6.4,5.2,7.8,5.5,7.4,6.9,6.2,7.5,6.1,4.7,5.7,10,9.6,9.5,8.5,9.6,7.3,5.9,5.1,9.7,7.3,7.8,7.8,8.1,6.1,8.3,7.9,7.9,4.4,6.4,7.5,8.2,6.6,4.2,4.3,8,4.4,7.9,6.1,6.3,9.7,4.2,5.9,6.8,7.5,8.1,7.4,4.1,7.7,7.1,7.5,9,8,8.7,5,4.2,8.1,7.7,7.5,5.4,9,7.8,8,8.4,8.8,5.6,4.2,9.8,8.2,5.1,6.1,4.9,7.7,6.9,6,6,6,6.4,1
8.4,6.1,8.8,7,9.5,6.6,6.9,6.8,9,9.6,4,4.2,9.6,9.8,4.5,4.6,7.2,4.5,7.2,8.3,7.1,4.7,9.9,9.2,6.9,5.4,5.5,5.5,5,5.4,4.7,7.5,8,6.8,6.9,6.1,4.1,8.3,7.3,5.9,5.1,9.1,5.2,6,6.3,8.4,5.2,8.4,9,6,8.3,9.7,6.6,8,6.4,4.5,4.1,5.5,8.5,7,6.9,4.7,6,5.8,9.2,6.6,5.5,8.6,5.8,6.7,7.3,6.4,6.2,6.2,7.9,8.3,9.1,7.2,7.4,6.5,9.2,1
5.2,5.8,7.4,8.2,9.4,5.9,7.3,7.1,9.8,5.1,5.1,6.6,9,8.1,8,4.6,9.6,9.8,4.6,9.4,7,7.4,9.1,4.2,7.4,5.2,6.3,6.2,7.8,7.9,4,8.4,4.2,4.2,4.2,6.1,5.9,7.6,7.8,9.6,5.5,6.9,8.3,9.5,4.8,4.2,7.7,6,9.8,4.1,4.4,4.7,5.6,5.5,7.7,8.5,7.3,5.7,7,4.2,6.4,7.6,4.2,4.4,5.2,7.3,4.2,8.7,9.4,7.8,4.8,8.2,9.3,6.4,8.2,9.8,4.2,5.6,9.5,5,8.9,1
9,9.8,9.5,9.5,9.5,8.3,10,8.4,8.8,6.7,6.8,4.2,7,5.4,9.7,9.8,8.5,7.3,6.1,4.7,5.1,8.2,9.6,8.3,8.2,9.2,6.7,5.9,5.9,5.6,4.1,8.7,8,6.4,9.3,4.3,5.3,9.5,6.3,9.7,6.4,10,7.6,7.1,5,6.4,8.7,7.7,4.2,8.4,7.7,8.3,6.3,8.7,10,6.2,4.3,8.3,9.2,6.4,5.6,7.2,9.8,5.8,9,9.3,5.8,4.7,5.3,5.3,6.2,7.2,7.6,6.2,8.9,8.1,9.9,8.2,4.2,4.4,9.5,1
9.6,6.5,6.7,7.5,5.9,5.9,9.6,6.6,6.9,6.5,5.1,6.2,4.9,8.6,6.2,5.1,5.1,4,5.8,7.5,7,4.2,6.4,4.2,9.3,4.9,4.2,4.6,5.4,7,8,9.8,4.4,6.9,8.9,7,8.2,8.6,4.9,8.8,5.1,6.1,5.6,7,4.3,9.1,7.8,6.1,4.1,5.5,7.5,7.4,7.7,4.6,8.9,8.4,6.2,7.6,4.7,7.1,5.4,4.5,7.1,8.4,8.7,8.2,7.1,6.8,7.1,8.2,9.3,6.6,6.5,6.2,9.9,7.2,9.9,5.5,4.2,6.6,8.6,1
5.2,9.5,8.1,8.6,9.3,9.1,8,7.5,9.6,9.5,9.9,5.1,7.8,5.1,4.4,9.9,4.5,5.8,4.2,4.2,5.9,6.6,9.4,4.3,4.9,9.6,4,8.8,8.1,4.4,5.7,9.8,4.4,8.4,7,8.6,7.5,5.9,6.9,5.1,5.2,7.9,9.7,7.5,7.8,5.3,5.3,9.4,7.8,5.9,9.6,5,6.8,8.3,8.5,4,7.8,6.7,4.9,9.5,4.7,9.8,5.1,9,5,5.9,9.4,7.1,4.5,4,5.7,7,7,8,4.8,5.1,7.8,9.6,5.6,8.2,6.7,1
5.4,7.1,6.1,6.4,9,5.4,5.9,7.1,7.8,7.3,4.9,8.6,8.9,4.4,6.3,8.3,5.5,6.7,8.6,7.4,10,6.8,9.6,8,6.7,4.2,4.4,5.3,7.9,5.3,9.7,6.3,9.2,6.8,6.9,7.3,5.6,7.8,5.6,6.2,4.9,7.2,6.8,7.5,5.7,6.6,8.4,4.9,8.1,7.8,8.9,9.2,6.4,4.2,7.6,6.6,7.2,7.4,9.8,5.5,6.2,6,8.7,6.8,9.2,9.5,5.4,7.8,4.9,8.5,4.5,7,6.4,7.5,7.6,5.2,8.1,9.1,5.5,4.4,5.2,1
8.4,6.6,7.2,6.6,7.9,9.5,8.9,9.9,9.1,7,4,4.3,8.9,4.8,8.5,8,9.5,4,8.8,6.8,9.3,4.8,8.3,7.2,6.2,7.5,9.4,6.8,7.1,5.2,9.2,6.7,5,5.6,7.6,7.5,9.8,5.5,8.1,5.8,5.7,8.1,7.2,7.9,7,7.7,8.5,7.6,9.3,6,8.2,5.8,9.7,4.1,6.5,6,9.6,7,9.4,7.6,5.8,9,8.8,7.2,7.5,5.3,6.9,4.7,9.8,4.6,4.3,5.5,5.1,6.4,5,4.4,9.9,4.2,7,6,4.3,1
7.1,6.9,8.8,8.3,7.8,5.1,7.1,8.3,7.2,7.8,4.9,8.8,9.2,8.7,9.3,5.9,7.1,8.1,4.9,7.8,6.2,5.3,8.4,7.2,9.8,9.1,4.1,4.5,9.5,9.2,5.9,5.6,4.4,8,7.8,6.1,8.6,8.5,8.2,9.2,8.2,6.1,6.2,8.4,4.6,7.2,6.8,9.5,9.1,9,6.2,7.8,8.8,8.5,4.3,6.4,6.9,4.6,6.9,6.7,7.5,8.4,7.7,4,6.7,5,6.4,6.4,5.3,8.5,7.2,7.8,6.8,4.1,4.8,8.4,4.4,8.3,4.3,7.7,6.3,1
